실제 값,예측 값
722.16,773.9539200000013
899.04,901.990079999999
868.8,872.6399999999999
776.64,802.8244800000003
591.12,650.6779200000003
448.32,511.5350399999996
430.08,540.0556800000005
795.84,838.4985600000003
790.8,810.3475200000005
627.12,701.5348800000021
756.0,804.8313600000016
770.64,817.7001600000019
337.92,421.02768000000094
695.28,771.4180800000021
694.08,697.2076800000016
277.44,344.8531200000004
840.72,849.332639999998
759.84,793.7889600000011
669.12,695.5401599999996
158.4,146.8401599999998
403.68,470.57615999999996
727.92,775.3617600000001
780.72,795.0839999999982
714.48,717.0979199999991
678.96,706.6060800000002
672.72,677.5022400000008
161.52,142.8998399999996
433.92,493.61376000000115
693.6,677.1796799999994
118.32,162.61439999999985
